Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Target
0.333333333,0.647058824,0.5,0.318681319,0,0.5,0.333333333,0.333333333,0,0.053571429,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0.117647059,1,0.104395604,0,0.75,0.666666667,0.666666667,0,0.535714286,1,0,1,0,0,0,0,1,0,0,1,0,1,0,-1
0,0.558823529,0.5,0.423076923,0,0.75,0.666666667,1,0.333333333,0.464285714,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1
1,0.470588235,0.5,0.489010989,1,0.5,0.666666667,1,1,0.285714286,1,0,1,1,0,0,0,1,0,0,0,0,1,0,-1
1,0.117647059,0.5,0.159340659,0.75,0.75,0,1,0,0.75,1,0,0,0,0,0,0,1,0,0,1,0,1,0,-1
0.333333333,0.382352941,1,0.274725275,0,0,1,0.333333333,0.666666667,0.160714286,1,0.333333333,0,0,0,1,0,1,0,0,1,0,0,0,1
0.333333333,0.117647059,0.5,0.06043956,0,0.25,0.333333333,0,0.666666667,0.107142857,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1
0,0.647058824,0.5,0.225274725,0,0.25,0.333333333,1,0.333333333,0.089285714,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
0.333333333,0.117647059,0.5,0.076923077,0,0.5,0.333333333,0,0.666666667,0.053571429,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-1
0,0.294117647,1,0.054945055,0,1,0.666666667,1,0.666666667,0.732142857,1,0.333333333,0,0,0,1,0,1,0,0,1,0,1,0,1
0,0.161764706,0.5,0.065934066,0,0.5,0.333333333,1,0.666666667,0.160714286,1,0,0,0,0,1,0,1,0,1,0,0,0,1,-1
1,0.294117647,1,0.120879121,1,1,0.666666667,1,0.333333333,0.607142857,1,0.333333333,0,0,0,0,0,1,0,0,1,0,0,1,-1
1,0.294117647,0.5,0.175824176,0.5,1,0.666666667,0.333333333,0.666666667,0.214285714,1,0,1,1,0,0,0,1,0,0,1,0,0,1,-1
1,0.073529412,1,0.104395604,0,0.5,0.666666667,1,0.666666667,0.517857143,1,0.666666667,0,1,0,1,0,1,0,0,1,0,0,1,-1
0,0.029411765,0.5,0.131868132,0.5,0.5,0.666666667,0.666666667,0,0.446428571,1,0,1,0,0,0,0,1,0,1,0,0,0,1,-1
1,0.088235294,1,0.104395604,1,0.5,1,0,0.666666667,0.125,1,0.333333333,0,0,1,0,0,1,0,0,1,0,0,1,-1
1,0.029411765,0,0.010989011,0,1,1,1,0.666666667,0.357142857,1,0,0,0,0,0,0,1,0,0,1,0,1,0,-1
0.666666667,0.117647059,0.25,0.010989011,0.75,0.5,0.333333333,0.666666667,0,0.410714286,1,0.333333333,0,0,0,0,0,1,0,1,0,0,0,1,-1
0,0.294117647,0.5,0.208791209,0,0.5,0.666666667,0.333333333,0.666666667,0.142857143,0.5,0,0,0,0,0,0,1,0,0,1,0,0,1,-1
0.333333333,0.205882353,0.5,0.313186813,0.25,0.5,0.666666667,0.333333333,0.666666667,0.196428571,1,0.333333333,0,1,0,1,0,1,0,0,1,0,0,1,-1
1,0.117647059,1,0.06043956,1,1,0.666666667,1,1,0.678571429,1,0,0,0,0,0,0,1,0,1,0,0,1,0,-1
0.333333333,0.117647059,0.5,0.054945055,0.5,0.5,0,0,0.666666667,0.125,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-1
0.333333333,0.205882353,0.75,0.32967033,0,0.5,0.666666667,1,0,0.446428571,1,0,1,1,0,0,0,1,0,0,1,0,1,0,-1
0,0.382352941,1,0.32967033,0.25,0.75,1,1,0.666666667,0.089285714,1,0.333333333,0,0,0,0,1,1,0,1,0,0,0,1,-1
1,0.470588235,0.5,0.115384615,0.5,1,0.666666667,1,0.666666667,0.357142857,1,0,0,0,0,0,0,1,0,0,1,0,0,1,-1
0,0.029411765,0.5,0.065934066,0.5,0,0.333333333,0.333333333,0.333333333,0.071428571,1,0,0,1,0,0,1,1,0,1,0,1,0,0,-1
1,0.102941176,1,0.384615385,0,0.5,0.666666667,1,0.333333333,0.357142857,1,0.333333333,0,0,0,1,0,1,0,0,1,0,1,0,-1
1,0.117647059,0.5,0.06043956,0,0.5,0.666666667,0.333333333,0.666666667,0.107142857,1,0,0,0,0,0,0,1,0,0,1,0,0,1,-1
0.333333333,0.470588235,0.75,0.10989011,0,1,0.666666667,1,1,0.678571429,0,0.333333333,0,1,0,1,0,1,0,0,0,0,0,1,1
1,0.470588235,1,0.516483516,0,0.5,0.333333333,0.333333333,0.666666667,0.214285714,0.5,0.333333333,0,0,0,0,0,1,0,0,1,0,0,1,-1
0,0.470588235,1,0.32967033,0,0.25,0.333333333,1,1,0.071428571,1,0.333333333,0,1,0,0,0,0,1,1,0,0,1,0,1
0.333333333,0.161764706,1,0.071428571,1,1,0.666666667,1,0,0.553571429,1,0.333333333,0,1,0,0,0,0,0,0,1,0,0,1,-1
0.333333333,0.470588235,0,0.098901099,0,1,0.666666667,1,1,0.75,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0.333333333,0.647058824,0,0.78021978,0,0.5,0.666666667,0.333333333,0.666666667,0.107142857,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
1,0.294117647,0.5,0.164835165,0,0.25,0.333333333,1,0.333333333,0.125,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-1
1,0.117647059,0.5,0.10989011,0,0.25,0.333333333,0.333333333,0.666666667,0.178571429,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-1
1,0.470588235,0.5,0.434065934,0,0.5,0.333333333,0.333333333,0.333333333,0.196428571,0,0,0,0,0,0,1,1,0,0,1,0,0,1,-1
0,0.058823529,1,0.054945055,0,1,0.666666667,1,1,0.571428571,0,0.333333333,1,1,0,0,0,1,0,0,0,0,0,0,-1
0.333333333,0.558823529,1,0.318681319,0,0.75,0.333333333,0,0,0.392857143,0,0.333333333,0,0,0,0,0,1,0,0,1,0,1,0,-1
0,0.117647059,1,0.071428571,0,1,0.666666667,1,1,0.839285714,1,0.333333333,0,0,0,0,1,1,0,0,0,0,0,0,-1
1,0.161764706,0.5,0.054945055,0.5,1,0.666666667,0.666666667,0.333333333,0.5,0.5,0,0,1,0,0,0,1,0,0,1,0,0,1,-1
0,0.088235294,0.5,0.115384615,0,1,0.666666667,1,0,0.589285714,1,0,0,0,0,0,0,1,0,0,1,0,1,0,-1
1,0.117647059,1,0.065934066,0,0.5,0.333333333,0.333333333,0,0.178571429,1,0.333333333,0,1,0,0,0,0,0,0,1,0,0,0,-1
0,0.117647059,0,0.049450549,0,0.75,0.666666667,0.666666667,0,0.160714286,1,0.333333333,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0.117647059,1,0.021978022,0,1,0.666666667,1,0,0.660714286,1,0,0,0,0,0,0,1,0,0,1,0,0,1,-1
0,0.117647059,1,0.065934066,0,1,0.666666667,0.666666667,0,0.625,1,0,0,0,0,0,1,1,0,0,1,0,0,1,-1
1,0.117647059,1,0.032967033,1,1,0.333333333,0.666666667,0.333333333,0.25,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
0.333333333,0.117647059,0.5,0.06043956,0.75,1,0.666666667,1,0,0.625,1,0,0,1,0,1,0,1,0,0,1,0,0,1,-1
0.333333333,0.735294118,0,0.862637363,0,0.25,0.666666667,1,1,0.696428571,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
1,0.294117647,0.5,0.071428571,0.25,1,1,1,0,0.392857143,1,0,0,0,0,1,0,1,0,1,0,0,1,0,-1
0.333333333,0.470588235,0.5,0.115384615,0,0.75,0.666666667,1,0.666666667,0.089285714,1,0,0,0,0,0,0,1,0,1,0,0,0,1,-1
0.333333333,0.073529412,1,0.093406593,0,0.75,0.666666667,0.666666667,0.666666667,0.285714286,1,0,0,1,0,0,0,1,0,1,0,0,0,1,-1
1,0.117647059,0.5,0.120879121,1,0.25,1,1,0.666666667,0.125,1,0,0,1,0,0,1,1,0,1,0,0,0,1,-1
0,0.294117647,0.5,0.412087912,1,0.25,0.333333333,0.333333333,0.333333333,0.196428571,1,0,0,1,1,0,0,1,0,0,1,0,0,1,-1
0.333333333,0.029411765,0.75,0.065934066,0.25,1,0,0.333333333,0.666666667,0.214285714,0,0.333333333,1,0,0,0,0,1,0,0,1,0,0,1,-1
