A1,A2,A3,A4,A5,A6,a7,A8,A9,a10,a11,a12,a13,a14,a15,Target
1,-0.706767,-0.357143,-1,-1,0.081081,-1,-0.403509,-1,-1,-0.850746,-1,-1,-0.88,-1,1
1,-0.867068,-0.285714,0,0,0.081081,-0.75,-0.988421,1,1,-1,1,-1,-0.66,-1,-1
1,-0.453534,-0.776786,-1,-1,1,1,-0.786667,1,-1,-0.940299,-1,-1,-0.8,-0.99992,-1
-1,-0.806917,-0.416429,-1,-1,0.848649,-1,-0.862456,-1,-1,-0.58209,1,-1,-0.94,-0.99684,1
-1,-1,-0.714286,0,0,0.232432,-1,-0.877193,-1,-1,-0.940299,-1,-1,-0.88,-0.98,1
-1,-0.606617,-0.961429,-1,-1,-0.221622,1,-1,1,1,-1,1,-1,-0.9,-1,-1
-1,-0.363308,-0.821429,-1,-1,0.232432,-1,-1,-1,1,-1,-1,-1,-0.761,-0.996,1
-1,-0.799398,-1,0,0,-0.147692,-0.69514,-1,1,1,-1,1,0,-0.815985,-1,-1
-1,-0.360902,-0.758929,-1,-1,-1,-0.75,-0.418246,1,1,-1,-1,-1,-1,-1,-1
-1,-0.388571,-0.994286,0,0,-0.07027,-0.5,-0.997193,-1,-1,-0.970149,-1,-1,-0.72,-0.96,1
-1,-0.796992,-0.8275,-1,-1,-1,-1,-0.859649,-1,-1,-0.671642,-1,-1,-0.8,-0.94,1
1,-0.789474,-0.261786,-1,-1,-1,-0.75,-0.976491,-1,-1,-0.970149,-1,-1,-0.92,-0.999,1
-1,-0.428571,-0.833214,-1,-1,-0.837838,-0.75,-0.596491,1,1,-1,-1,-1,-0.708,-1,-1
-1,-0.731729,-0.25,-1,-1,0.081081,-0.75,-0.906316,-1,1,-1,1,-1,-0.9,-1,1
-1,-0.37594,-0.711429,0,0,-0.535135,-0.5,-0.403509,-1,-1,-0.791045,-1,-1,-0.805,-1,1
1,-0.736842,-0.214286,0,0,0.081081,-1,-0.789474,-1,1,-1,-1,-1,-0.732,-1,-1
-1,-0.193083,-0.642857,-1,-1,-1,-1,-0.649123,-1,-1,-0.791045,1,-1,-1,-0.9387,1
1,-0.654135,-0.107143,-1,-1,-0.837838,-1,-0.929825,1,1,-1,-1,-1,-0.82,-0.97876,-1
-1,-0.809624,-0.982143,-1,-1,0.081081,-1,-0.991228,1,1,-1,1,-1,-0.8,-1,-1
-1,-0.290827,-0.535714,-1,-1,-0.07027,-0.75,-0.701754,-1,-1,-0.641791,-1,-1,-0.907,-1,1
1,-0.030075,-0.714286,-1,-1,-0.372973,-0.25,-1,-1,1,-1,1,-1,-0.9,-0.9808,1
-1,-0.441203,-0.821429,-1,-1,-1,-1,-0.912281,1,1,-1,-1,-1,-0.72,-1,-1
-1,-0.842105,-0.875,0,0,-1,-1,-0.83614,1,1,-1,-1,-1,-0.888,-0.99988,-1
1,-0.464115,-0.75,-1,-1,-0.837838,-1,-0.789474,-1,1,-1,-1,-1,-0.7,-1,-1
-1,-0.400902,-0.910714,-1,-1,0.232432,-1,-0.918246,1,1,-1,1,-1,-0.88,-1,-1
-1,-0.847218,-1,-1,-1,0.081081,-1,-0.953333,1,1,-1,1,-1,-0.84,-0.99998,-1
-1,-0.366015,-0.821429,0,0,0.232432,-1,-0.789474,1,1,-1,1,1,-0.8,-1,-1
-1,-0.776842,-0.982143,0,0,-1,-0.75,-0.982456,1,1,-1,1,-1,-0.72,-0.99592,-1
-1,-0.223158,-0.642857,-1,-1,1,1,-1,1,-1,-0.940299,1,-1,-0.983,-0.99998,-1
1,-0.330827,-0.928571,-1,-1,-1,-1,-0.859649,-1,-1,-0.671642,1,-1,-1,-0.99088,1
1,-0.446015,-0.895714,-1,-1,0.232432,-1,-0.92386,-1,-1,-0.522388,1,-1,-0.88,-0.95842,1
1,-0.736842,-0.395714,0,0,0.383784,-1,-0.827368,1,1,-1,1,-1,-0.836,-1,1
