A1,A2,A3,A4,A5,A6,a7,A8,A9,a10,a11,a12,a13,a14,a15,Target
-1,-0.734436,-0.892857,0,0,0.848649,-1,-0.962105,1,1,-1,-1,-1,-0.88,-0.99866,-1
-1,-0.761805,-0.916786,0,0,-0.221622,-1,-0.824561,-1,-1,-0.970149,1,-1,-0.82,-0.9996,-1
1,-0.759398,-0.160714,-1,-1,-1,-1,-0.982456,1,1,-1,-1,-1,-0.82,-1,-1
-1,-0.756992,-0.982143,-1,-1,-0.837838,-0.75,-0.953333,-1,1,-1,-1,-1,-1,-1,1
1,-0.238195,-0.714286,-1,-1,-1,-1,-0.789474,1,1,-1,1,-1,-0.52,-1,-1
1,-0.60391,-0.035714,-1,-1,0.081081,-0.75,-0.649123,-1,-1,-0.940299,1,-1,-1,-0.9,1
-1,-0.686617,-0.9375,-1,-1,0.081081,-1,-0.675439,-1,-1,-0.940299,-1,-1,-0.48,-0.96,1
-1,-0.385865,-0.89,-1,-1,-1,-1,-0.89193,-1,-1,-0.970149,-1,-1,-0.48,0,1
-1,-0.566316,-0.991071,0,0,-0.221622,-1,-0.994035,1,1,-1,1,-1,-0.784,-0.958,-1
1,0.513684,-0.988214,-1,-1,1,1,-1,-1,-1,-0.970149,1,-1,-0.768,-0.998,1
-1,0.165414,-0.535714,-1,-1,-0.221622,-1,-0.558596,-1,-1,-0.552239,1,-1,-1,-0.77596,1
1,-0.614135,-0.818571,0,0,1,1,-1,1,1,-1,-1,-1,-0.82,-0.9988,-1
-1,-0.403609,-0.976071,0,0,-1,-1,-0.994035,1,1,-1,1,-1,-0.82,-1,-1
1,-0.163008,-0.925714,-1,-1,0.848649,-1,-0.953333,1,1,-1,1,-1,-0.76,-0.99526,-1
-1,-0.112782,0.800714,-1,-1,0.081081,-0.75,-0.985263,-1,-1,-0.970149,1,-1,-0.24,-0.9982,-1
1,-0.709173,-0.943571,0,0,0.081081,-1,-0.894737,-1,-1,-0.940299,-1,-1,-0.92,-0.992,1
-1,-0.521203,-0.946429,0,0,-1,-1,-0.997193,1,1,-1,1,-1,-0.76,-1,-1
-1,-0.06015,-0.392857,-1,-1,-1,-0.75,-0.017544,-1,-1,-0.970149,-1,-1,-0.912,-0.96,1
1,-0.721805,-0.868929,-1,-1,-0.372973,-0.25,-1,1,-1,-0.970149,1,-1,-0.8,-0.99894,-1
-1,-0.438496,-0.845357,0,0,-0.221622,1,-1,1,1,-1,1,-1,-0.88,-1,-1
1,-0.754286,-0.166786,-1,-1,-0.221622,-0.75,-0.994035,1,1,-1,1,-1,-0.68,-0.9999,-1
-1,0.04,-0.142857,-1,-1,-0.07027,-1,0.122807,-1,1,-1,1,1,-0.89,-1,1
-1,-0.152782,-0.97,-1,-1,-1,-0.75,-0.985263,-1,-1,-0.820896,1,-1,-0.78,-0.98104,1
-1,-0.403609,-0.803571,-1,-1,-0.07027,-1,-0.701754,-1,-1,-0.820896,1,-1,-0.796,-1,1
-1,1,-0.607143,-1,-1,-0.147692,-0.69514,-0.962105,-1,1,-1,1,-1,-1,-0.9932,-1
1,-0.799398,-0.25,0,0,0.383784,-0.75,-1,1,1,-1,-1,-1,-0.846,-0.99936,-1
-1,0.348271,-0.806429,-1,-1,-1,-1,-0.830526,1,1,-1,-1,-1,-0.68,-1,-1
-1,-0.651729,-0.958571,-1,-1,-1,-1,-0.979649,-1,-1,-0.791045,-1,-1,-0.904,-0.89752,1
-1,-0.225564,-0.883929,-1,-1,-1,-1,-0.894737,1,1,-1,1,-1,-1,-0.99368,-1
-1,-0.862256,-0.913571,0,0,0.697297,0.5,-1,1,1,-1,1,-1,-0.9,-1,-1
-1,-0.548872,-0.892857,0,0,-1,-1,-0.894737,-1,1,-1,-1,-1,-1,-0.9955,-1
-1,-0.659248,-0.877857,-1,-1,0.383784,-1,-0.883158,-1,-1,-0.970149,-1,-1,-0.605,-0.9996,1
-1,-0.506165,-0.535714,-1,-1,-1,-1,-0.780702,-1,-1,-0.761194,1,-1,-0.67,-0.976,1
-1,-0.611429,0.041786,-1,-1,-0.535135,-0.5,-1,1,1,-1,-1,-1,-0.822,-1,-1
-1,0.065263,-0.836429,-1,-1,1,1,-0.979649,1,1,-1,1,-1,-0.8,-0.99994,-1
-1,-0.278195,-0.5,-1,-1,0.081081,-0.75,-0.192982,-1,-1,-0.791045,-1,-1,-0.7,-0.9999,-1
-1,-0.626466,-0.940357,-1,-1,-1,-1,-0.918246,1,1,-1,1,-1,-0.9,-1,-1
-1,-0.699248,-0.970357,0,0,-1,-1,-0.997193,1,-1,-0.940299,1,-1,-0.872,-0.99988,-1
1,-0.676692,-0.8275,0,0,-1,-1,-1,1,1,-1,1,-1,-0.88,-1,-1
-1,-0.731729,-0.886786,0,0,0.232432,-1,-0.783509,-1,-1,-0.820896,1,-1,-0.92,-1,1
-1,-0.829474,-0.535714,-1,-1,0.232432,-0.75,-0.897544,-1,-1,-0.791045,1,-1,-0.92,-0.94092,1
-1,-0.41594,-0.925714,-1,-1,-0.07027,-0.75,-0.54386,-1,1,-1,-1,-1,-0.836,-0.3743,1
-1,-0.922406,-0.803571,-1,-1,0.848649,-1,-0.953333,1,-1,-0.970149,1,-1,-0.92,-0.99958,-1
-1,-0.338346,-0.8275,-1,-1,0.232432,-1,-0.991228,1,-1,-0.940299,1,-1,-0.78,-0.99998,-1
1,-0.553985,-0.747143,-1,-1,-0.535135,-0.5,-0.964912,-1,1,-1,-1,-1,-0.829,-1,-1
-1,-0.706767,-0.803571,-1,-1,1,1,-0.684211,1,1,-1,1,-1,-0.84,-0.9995,-1
1,-0.819549,-0.946429,-1,-1,-1,-1,-0.944211,-1,-1,-0.850746,-1,-1,-0.86,-0.9999,-1
1,-0.569023,0.071429,0,0,0.697297,0.25,-1,-1,1,-1,1,-1,-1,-0.73576,1
1,0.165414,-0.5,-1,-1,0.848649,-0.75,-0.789474,1,1,-1,1,-1,-1,-1,-1
-1,-0.611429,-0.696429,-1,-1,-1,-1,-0.698947,-1,-1,-0.970149,-1,-1,-0.88,-1,1
-1,-0.889624,-0.535714,-1,-1,-0.535135,-1,-0.991228,1,1,-1,1,-1,-0.94,-0.998,-1
1,-0.593985,-0.979286,-1,-1,-0.07027,-0.75,-0.991228,1,-1,-0.970149,-1,-1,-0.728,-0.99784,-1
-1,-0.310677,-0.684643,0,0,-0.221622,-1,-0.982456,-1,-1,-0.701493,-1,-1,-0.68,-1,1
-1,-0.799398,-0.5,-1,-1,-1,-1,-0.885965,-1,-1,-0.910448,1,-1,-0.8,-0.97218,1
1,-0.904662,-0.964286,-1,-1,-0.535135,-1,-0.988421,1,-1,-0.820896,-1,-1,-0.76,-0.9993,-1
-1,-0.543759,0.071429,-1,-1,-1,-0.75,-0.625614,-1,-1,-0.671642,1,-1,-1,-0.95434,1
-1,-0.493835,-0.806429,0,0,-0.07027,-1,-0.991228,1,1,-1,-1,1,-0.92,-1,-1
-1,-0.400902,-0.845357,-1,-1,-1,-1,-0.894737,1,1,-1,1,0,-0.88,-1,-1
-1,-0.674286,-0.035714,0,0,1,1,-1,1,1,-1,1,-1,-0.815985,-1,-1
1,-0.308271,-0.633929,-1,-1,0.697297,-1,-0.649123,-1,1,-1,-1,-1,-1,-0.92,1
-1,-0.81203,-0.910714,0,0,-0.221622,-1,-0.991228,1,1,-1,1,-1,-0.86,-0.99992,-1
1,-0.892331,-0.321429,-1,-1,0.848649,-1,-0.877193,1,-1,-0.701493,-1,-1,-1,-0.9998,-1
-1,-0.674286,-0.107143,-1,-1,0.232432,-1,-0.938596,-1,1,-1,-1,-1,-0.74,-1,-1
-1,-0.917293,-0.991071,-1,-1,-1,-1,-0.988421,1,1,-1,1,-1,-0.868,-1,-1
1,-0.787068,-0.392857,-1,-1,-1,-1,-0.988421,1,1,-1,1,-1,-1,-0.99298,-1
1,-0.243008,-0.881071,-1,-1,0.848649,-1,-0.982456,1,1,-1,1,-1,-1,-0.9922,-1
1,-0.491128,-0.142857,-1,-1,-1,-1,-0.859649,-1,-1,-0.970149,1,-1,-0.78,-0.99962,1
0,-0.809624,-0.991071,-1,-1,0.081081,-1,-0.929825,1,-1,-0.970149,1,-1,-0.76,-0.98464,1
1,-0.464115,-0.892857,-1,-1,1,1,-1,1,-1,-0.940299,-1,-1,-0.8,-0.9979,-1
-1,-0.461053,0.154643,-1,-1,-0.837838,-1,-0.789474,-1,-1,-0.731343,1,-1,-0.75,-0.9854,1
-1,-0.571429,-0.857143,-1,-1,-0.221622,-0.75,-0.707719,-1,-1,-0.940299,-1,-1,-0.819,-1,1
1,-0.656541,-0.794643,-1,-1,0.383784,-0.75,-0.938596,-1,1,-1,1,-1,-0.64,-1,1
-1,-0.731729,-0.818571,0,0,-1,-0.75,-0.818596,-1,1,-1,1,-1,-1,-1,1
-1,-0.441203,-0.464286,-1,-1,0.697297,-0.5,-0.888772,-1,1,-1,-1,1,-0.58,-1,-1
-1,-0.734436,-0.282857,-1,-1,0.383784,-1,-0.997193,-1,-1,-0.731343,1,-1,-0.94,-0.99208,1
1,-0.869774,-0.973214,1,-1,-1,1,-0.298246,1,1,-1,-1,1,-0.7,-1,1
-1,-0.423459,-0.821429,-1,-1,0.848649,-1,-0.877193,1,-1,-0.940299,-1,-1,-0.28,-1,-1
1,0.303158,-0.976071,-1,-1,-0.535135,-0.5,-0.929825,-1,1,-1,-1,-1,-0.748,-0.95606,-1
1,-0.027669,-0.785714,-1,-1,-1,-1,-0.833333,-1,-1,-0.761194,-1,-1,-0.604,-0.91682,1
1,-0.827068,-0.988214,-1,-1,0.081081,-1,-0.997193,1,1,-1,-1,-1,-0.62,-1,-1
-1,-0.769323,-0.946429,0,0,-0.07027,0,-0.947368,1,1,-1,-1,-1,-0.868,-0.99996,-1
-1,0.160301,-0.901786,0,0,-1,-0.75,-0.33614,-1,1,-1,-1,-1,-0.8,-0.998,-1
1,-0.649023,-0.919643,-1,-1,0.081081,-1,-0.909474,-1,-1,-0.940299,1,-1,-0.8,-1,-1
1,-0.849624,-0.464286,-1,-1,0.081081,-1,-0.809825,-1,-1,-0.850746,1,-1,-0.815985,-0.46548,1
-1,-0.528722,-0.910714,-1,-1,-1,-0.75,-0.982456,1,-1,-0.940299,-1,-1,-0.6,-0.99784,-1
-1,-0.516391,-0.910714,0,0,-0.221622,-1,-0.982456,1,1,-1,1,-1,-0.776,-1,-1
-1,-0.714286,-0.892857,-1,-1,0.081081,-1,-0.833333,-1,-1,-0.910448,-1,-1,-1,-0.98836,1
-1,-0.080301,-0.964286,-1,-1,-0.535135,-0.75,-0.649123,-1,1,-1,-1,-1,-0.68,-1,1
-1,-0.641504,-0.767857,-1,-1,-1,-0.75,-0.839298,1,-1,-0.970149,-1,-1,-0.584,-0.99958,-1
1,-0.847218,-0.684643,0,0,-1,-0.75,-0.789474,-1,1,-1,1,-1,-0.76,-1,1
-1,-0.749474,-0.181429,-1,-1,-0.221622,-1,-0.888772,1,1,-1,-1,-1,-0.9,-0.97576,-1
-1,-0.383459,-0.875,-1,-1,0.232432,-0.5,-0.982456,-1,1,-1,-1,-1,-0.837,-1,-1
-1,-0.225564,-0.696429,-1,-1,-1,-0.5,-0.54386,-1,-1,-0.522388,1,-1,-0.883,-0.9758,1
1,-0.526316,-0.9225,0,0,0.383784,-1,-0.929825,1,1,-1,1,-1,-0.72,-0.99974,-1
1,0.676692,-0.571429,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1
0,-0.050226,-0.928571,-1,-1,0.081081,-1,-0.991228,1,1,-1,-1,-1,-0.737,-1,-1
1,-0.556391,-0.782857,0,0,0.383784,-0.75,-0.821754,-1,-1,-0.970149,1,-1,-0.93,-1,1
-1,0.313383,-0.392857,-1,-1,0.697297,-0.75,-0.508772,-1,-1,-0.910448,1,-1,-1,-1,1
-1,-0.867068,-0.267857,-1,-1,-1,-0.75,-0.92386,1,1,-1,1,-1,-0.68,-0.99974,-1
-1,-0.924812,-1,0,0,0.848649,-1,-0.982456,1,1,-1,1,-1,-0.94,-1,-1
-1,-0.679098,-0.118929,-1,-1,0.081081,-0.75,-0.888772,-1,1,-1,-1,-1,-0.88,-1,1
-1,0.112782,-0.958214,-1,-1,1,1,-1,1,1,-1,1,-1,-0.855,-1,-1
0,-0.185564,-0.75,-1,-1,-0.535135,-0.5,-0.964912,1,1,-1,1,1,0.16,-1,-1
1,-0.844511,-0.357143,-1,-1,0.848649,-1,-0.947368,-1,-1,-0.940299,1,-1,-0.912,-0.98818,1
1,-0.874586,-0.270714,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-0.999,-1
1,-0.929925,-0.976071,-1,-1,1,1,-1,1,-1,-0.970149,1,-1,-0.84,-0.99748,-1
-1,0.381053,-0.89,-1,-1,0.081081,-1,-0.991228,-1,1,-1,-1,-1,-0.74,-1,1
-1,-0.135338,-0.648929,0,0,0.232432,-1,-0.777895,-1,1,-1,-1,-1,-0.948,-0.97116,1
-1,-0.827068,-0.979286,-1,-1,-0.221622,-1,-0.979649,1,1,-1,1,-1,-0.72,-0.99272,-1
-1,-0.578947,-0.958214,0,0,-1,-1,-0.982456,-1,-1,-0.940299,1,-1,-0.74,-0.99,1
-1,-0.869774,-0.517857,0,0,-0.07027,-1,-0.997193,1,1,-1,1,-1,-0.86,-1,-1
